,values
0,-11.97463
1,-11.97463
2,-3.96319
3,-9.83426
4,-1.0777
5,-10.45365
6,-0.0492
7,-12.16395
8,-1.3108
9,-0.03359
10,-13.67777
11,-0.19688
12,-13.57196
13,-2.97308
14,-8.25189
15,-2.36582
16,-8.04931
17,-0.50907
18,-13.01876
19,-0.2598
20,-13.66213
21,-3.0562
22,-8.21305
23,-3.22881
24,-8.24297
25,-3.33133
26,-10.3868
27,-1.50214
28,-11.84631
29,-1.31809
30,-12.70512
31,-0.5993
32,-12.53991
33,-2.42998
34,-10.44842
35,-1.99069
36,-9.54754
37,-0.50045
38,-12.2261
39,-4.01528
40,-9.26893
41,-4.07184
42,-7.84407
43,-4.78305
44,-7.56384
45,-4.76765
46,-4.74036
47,-5.63648
48,-3.33025
49,-6.50541
50,-5.4243
51,-5.62321
52,-5.94783
53,-5.48825
54,-4.52881
55,-7.03055
56,-4.52789
57,-7.24162
58,-5.32025
59,-5.97041
60,-4.99905
61,-7.28358
62,-3.49169
63,-7.34267
64,-1.24022
65,-10.30064
66,-0.60745
67,-12.14924
68,-0.72119
69,-12.36331
70,-2.4675
71,-9.41861
72,-2.94475
73,-9.37348
74,-3.26279
75,-7.35319
76,-3.27328
77,-10.20303
78,-1.70209
79,-9.5568
80,-1.31815
81,-10.96756
82,-0.35163
83,-12.00748
84,-0.09188
85,-11.83458
86,-3.72443
87,-10.15782
88,-1.72398
89,-9.88316
90,-3.6265
91,-8.52695
92,-1.30819
93,-7.41958
94,-3.68292
95,-6.86476
96,-2.96257
97,-8.84142
98,-7.9964
99,-2.97914
100,-11.23658
101,-0.94713
102,-10.428
103,-1.22291
104,-11.10067
105,-2.17206
106,-10.74906
107,-0.48207
108,-12.75892
109,-1.14363
110,-10.06515
111,-0.85158
112,-15.22457
113,-2.88738
114,-8.34623
115,-4.38906
116,-10.24376
117,-3.92881
118,-7.83799
119,-5.2615
120,-7.52247
121,-3.62814
122,-8.92816
123,-1.97906
124,-10.59082
125,-2.3533
126,-12.42102
127,-2.89893
128,-11.0292
129,-0.37251
130,-11.95475
131,-3.64742
132,-7.7869
133,-4.7701
134,-5.00113
135,-6.68831
136,-3.66516
137,-7.63103
138,-3.959
139,-9.14386
140,-4.37559
141,-6.28037
142,-5.4866
143,-6.12504
144,-5.16886
145,-7.20666
146,-3.83934
147,-8.9085
148,-2.8616
149,-8.68976
150,-3.44169
151,-6.83286
152,-3.67892
153,-7.64589
154,-2.64952
155,-8.04204
156,-4.28878
157,-5.77273
158,-4.89796
159,-3.63853
160,-5.36557
161,-4.49754
162,-6.00613
163,-3.76392
164,-6.3921
165,-4.07343
166,-6.25717
167,-5.08885
168,-5.19155
169,-5.79162
170,-4.14776
171,-7.84374
172,-0.10979
173,-11.99342
174,-3.04223
175,-11.30786
176,-3.28413
177,-9.07472
178,-4.21963
179,-7.12746
180,-5.04558
181,-5.98998
182,-6.31571
183,-5.45707
184,-6.46041
185,-4.0647
186,-7.63484
187,-2.32819
188,-6.94615
189,-3.57947
190,-6.3643
191,-5.63962
192,-4.17947
193,-6.34268
194,-6.04553
195,-6.79017
196,-4.53353
197,-8.0758
198,-4.52229
199,-7.70289
200,-6.84057
201,-4.50088
202,-6.89928
203,-1.96633
204,-9.80242
205,-1.94057
206,-10.52832
207,-2.24751
208,-8.53596
209,-3.44908
210,-8.99941
211,-3.04722
212,-7.71309
213,-4.21149
214,-5.96876
215,-4.86181
216,-5.68757
217,-5.13167
218,-6.13
219,-5.39339
220,-5.85833
221,-5.0645
222,-5.00594
223,-6.79735
224,-3.16772
225,-6.39303
226,-2.84639
227,-6.46791
228,-3.82588
229,-8.0847
230,-4.12774
231,-7.59967
232,-3.91745
233,-7.41031
234,-2.99903
235,-8.11544
236,-4.15842
237,-5.75584
238,-8.52795
239,-5.86854
240,-6.12062
241,-3.82073
242,-7.04826
243,-4.08657
244,-6.82085
245,-2.87764
246,-7.0483
247,-4.43038
248,-5.94104
249,-5.4165
250,-4.36925
251,-6.02095
252,-6.94913
253,-4.51902
254,-6.91728
255,-2.22957
256,-9.48816
257,-2.14091
258,-10.84693
259,-2.93394
260,-10.06656
261,-2.75183
262,-9.29125
263,-5.02567
264,-7.25403
265,-3.23665
266,-8.02454
267,-4.0301
268,-7.3276
269,-2.8332
270,-6.66082
271,-4.34924
272,-6.10001
273,-5.5594
274,-4.61904
275,-3.99409
276,-4.33795
277,-5.32508
278,-5.21671
279,-6.81856
280,-5.20162
281,-6.97185
282,-4.68499
283,-6.10178
284,-4.52093
285,-5.30551
286,-5.07724
287,-6.83642
288,-4.50125
289,-4.28544
290,-5.802
291,-4.83493
292,-8.04893
293,-3.43325
294,-7.656
295,-3.97685
296,-6.53632
297,-3.26374
298,-6.33782
299,-4.6679
300,-7.40996
301,-6.1669
302,-6.00736
303,-5.12706
304,-4.42944
305,-6.41575
306,-4.3427
307,-7.22049
308,-3.5135
309,-6.96572
310,-3.55918
311,-9.2443
312,-1.89497
313,-11.12841
314,-1.58676
315,-10.83472
316,-1.63159
317,-8.94904
318,-3.1671
319,-6.79042
320,-1.88043
321,-8.63073
322,-2.05711
323,-9.79243
324,0.42134
325,-14.66758
326,-2.7879
327,-8.96918
328,-3.46931
329,-8.61138
330,-4.55777
331,-4.56702
332,-5.92845
333,-3.97665
334,-7.93783
335,-4.2535
336,-6.23032
337,-4.07545
338,-6.57377
339,-4.09172
340,-7.13204
341,-5.52313
342,-7.73947
343,-2.26309
344,-9.25743
345,-3.3821
346,-7.63075
347,-1.86857
348,-8.78506
349,-2.96869
350,-9.74738
351,-2.18404
352,-10.97261
353,-0.88457
354,-10.66271
355,-1.86083
356,-9.8888
357,-2.3838
358,-7.34256
359,-2.75642
360,-8.53924
361,-2.00341
362,-10.41701
363,-1.24208
364,-10.41095
365,-0.27181
366,-11.92024
367,-0.32232
368,-12.75537
369,-2.09412
370,-11.03877
371,-2.43221
372,-9.92561
373,-5.078
374,-7.30572
375,-5.40625
376,-7.12316
377,-0.44901
378,-12.76441
379,-1.5262
380,-10.597
